sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
關山,臺東縣,15,,良好,0.2,0.08,10,12.6,11,3,2.6,3.1,0.5,1.5,209,"2024/06/21 23:00:00",0,2.9,15,0,121.161933,23.045083,80
麥寮,雲林縣,19,,良好,1.1,0.07,16.7,21.2,5,3,1,1.1,0,2,211,"2024/06/21 23:00:00",0,2,9,1,120.251825,23.753506,83
富貴角,新北市,30,,良好,0.4,0.17,26.4,32,21,9,4.1,4,0,0.8,145,"2024/06/21 23:00:00",0.1,8.6,18,0,121.53656894,25.29681695,84
大城,彰化縣,18,,良好,1.4,0.01,17.9,19.4,6,0,3,3.8,0.7,2.2,213,"2024/06/21 23:00:00",0,0.9,11,1,120.26964167,23.85493056,85
彰化（員林）,彰化縣,44,,良好,1.8,0.15,11,21.1,34,12,8.5,10.1,1.5,0.4,78,"2024/06/21 23:00:00",0.1,13.5,27,1,120.56373,23.96117,201
高雄（湖內）,高雄市,18,,良好,0.4,0.11,11.2,13,15,5,3.7,5.2,1.5,1.1,185,"2024/06/21 23:00:00",0.1,3,18,0,120.24535,22.87985556,202
臺南（麻豆）,臺南市,19,,良好,0.5,0.12,11.2,14.3,16,4,5.4,6.5,1,0.2,157,"2024/06/21 23:00:00",0.1,6,16,0,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,26,,良好,0.6,0.03,16.2,16.4,3,7,0.8,1.2,0.4,1,118,"2024/06/21 23:00:00",0,8.1,10,0,120.37722,22.35222,204
新北(樹林),新北市,40,,良好,0.2,0.22,5.7,14.8,26,12,7.4,9.2,1.7,0,69,"2024/06/21 23:00:00",0.3,12.2,24,0,121.38352778,24.94902778,311
大甲（日南國小）,臺中市,22,,良好,0.5,0.3,10,17.5,10,5,13.8,14.6,0.8,1,112,"2024/06/21 23:00:00",0.2,5.5,11,0,120.65525382,24.39017512,312
屏東(枋山),屏東縣,19,,良好,0.1,0.13,17.9,21.3,7,3,1.5,2,0.5,2.5,93,"2024/06/21 23:00:00",0,3,13,0,120.651472,22.260899,313
